Date,Close,High,Low,Open,Volume,CPI,GDP,WPI,REPO_RATE
2024-05-13,390.37152099609375,397.2293883350401,382.1948309510795,396.7458307420885,11107909,313.175,29147.044,255.313,6.5
2024-05-14,394.5037841796875,396.2182373435876,391.33860478974,392.7453541665514,6592194,313.175,29147.044,255.313,6.5
2024-05-15,411.3407287597656,413.231035577488,395.207128706555,395.6467361912119,23543942,313.175,29147.044,255.313,6.5
2024-05-16,411.73638916015625,417.6271406129869,402.5486081655786,412.0441197879632,17232651,313.175,29147.044,255.313,6.5
2024-05-17,413.4508666992188,416.4841692768263,410.4175641216112,412.3957979335692,10625019,313.175,29147.044,255.313,6.5
2024-05-21,431.3868408203125,434.2442896129478,412.96730239438665,412.96730239438665,27356982,313.175,29147.044,255.313,6.5
2024-05-22,441.1022033691406,446.0697630584416,432.2221259565372,434.771844247093,28346931,313.175,29147.044,255.313,6.5
2024-05-23,437.2335815429688,442.9484786871297,432.6616799265465,442.5967980753296,14378840,313.175,29147.044,255.313,6.5
2024-05-24,440.48675537109375,444.3552963593473,430.0680512999056,436.0467299467656,12190536,313.175,29147.044,255.313,6.5
2024-05-27,434.7278747558594,442.24515239902286,431.474768468828,442.2012023808925,8811105,313.175,29147.044,255.313,6.5
2024-05-28,428.7492065429688,436.2665111927315,425.62800390065786,436.09065745308857,8165238,313.175,29147.044,255.313,6.5
2024-05-29,427.6941528320313,432.4858585430565,423.8695621678923,423.8695621678923,8014727,313.175,29147.044,255.313,6.5
2024-05-30,423.9135437011719,429.0130072429748,421.5836291151181,427.29852711146486,7725080,313.175,29147.044,255.313,6.5
2024-05-31,431.8704223632813,433.54092551102246,421.14398854050063,425.89174421411184,11223848,313.175,29147.044,255.313,6.5
2024-06-03,450.4657897949219,463.69801865188674,444.4871384477595,452.795731041218,24416215,313.044,29147.044,255.914,6.5
2024-06-04,388.525146484375,450.5098377319864,361.1815515671416,450.4658340466567,48046493,313.044,29147.044,255.914,6.5
2024-06-05,404.9224853515625,406.9446960894757,373.7543275579865,397.4052073174336,18966089,313.044,29147.044,255.914,6.5
2024-06-06,415.8247680664063,425.8917642763509,408.5272670623905,413.2310729398167,21757857,313.044,29147.044,255.914,6.5
2024-06-07,421.2758483886719,423.1661552118159,411.1209261965767,415.868681678186,8317343,313.044,29147.044,255.914,6.5
2024-06-10,420.00103759765625,429.0569418257165,418.0667537666561,426.41929669154194,10958537,313.044,29147.044,255.914,6.5
2024-06-11,418.8140563964844,425.10043806674304,417.80296454711606,423.78161561152046,11169021,313.044,29147.044,255.914,6.5
2024-06-12,429.6723937988281,434.59597647761353,421.4517279421036,422.9024273682283,15412796,313.044,29147.044,255.914,6.5
2024-06-13,428.968994140625,434.2442841530078,425.1004534978468,434.2442841530078,7438571,313.044,29147.044,255.914,6.5
2024-06-14,428.1337890625,432.9254950950173,426.6391127109172,428.9690272800784,5974636,313.044,29147.044,255.914,6.5
2024-06-18,429.9801025390625,433.3650857933029,426.5951461163357,432.5737976273604,6946544,313.044,29147.044,255.914,6.5
2024-06-19,420.2208557128906,431.8704554534258,418.94598312188657,430.28785221995366,8962510,313.044,29147.044,255.914,6.5
2024-06-20,424.7927551269531,428.5294191693754,414.5938549625093,422.9463981161592,7864157,313.044,29147.044,255.914,6.5
2024-06-21,422.1990356445313,432.0462271237452,421.1439669571281,424.7927036845045,10340882,313.044,29147.044,255.914,6.5
2024-06-24,416.4841918945313,422.06718615737145,414.98951553394295,422.02323613621314,11124175,313.044,29147.044,255.914,6.5
2024-06-25,412.5716552734375,420.2208368123912,409.09874515174295,418.4184298912976,7951999,313.044,29147.044,255.914,6.5
2024-06-26,412.1320495605469,414.8576215479433,408.8789431834102,413.4508721191406,6655899,313.044,29147.044,255.914,6.5
2024-06-27,410.6373901367188,412.3518702659528,405.7577572019984,412.1320664971544,14857335,313.044,29147.044,255.914,6.5
2024-06-28,416.0005798339844,418.5063479981752,411.47262786375205,413.23105789735786,8302706,313.044,29147.044,255.914,6.5
