Date,Close,High,Low,Open,Volume,CPI,GDP,WPI,REPO_RATE
2024-05-13,1214.7860107421875,1223.1134339224552,1204.3767317668528,1217.8393314728758,2316566,313.175,29147.044,255.313,6.5
2024-05-14,1222.3270263671875,1227.7860247556966,1210.8998604116662,1223.205987003192,3200462,313.175,29147.044,255.313,6.5
2024-05-15,1233.2913818359375,1240.1383967418385,1219.7361649985069,1220.661434230442,2975965,313.175,29147.044,255.313,6.5
2024-05-16,1247.40185546875,1256.3307269900424,1229.2202907539763,1244.4872345232204,5055915,313.175,29147.044,255.313,6.5
2024-05-17,1233.56884765625,1250.0386845339326,1230.7930400666114,1250.0386845339326,2487831,313.175,29147.044,255.313,6.5
2024-05-21,1241.6190185546875,1248.9748650350475,1215.8039799524145,1215.8039799524145,4966721,313.175,29147.044,255.313,6.5
2024-05-22,1242.6829833984375,1251.7968634494564,1239.8608668432485,1248.141981931432,2390777,313.175,29147.044,255.313,6.5
2024-05-23,1252.3983154296875,1256.9320446747904,1238.0103325294217,1246.0139346230249,3326149,313.175,29147.044,255.313,6.5
2024-05-24,1244.672119140625,1258.36614888114,1240.6472205922405,1258.36614888114,1769966,313.175,29147.044,255.313,6.5
2024-05-27,1252.1671142578125,1257.9962436627784,1238.010447371037,1250.0389494755389,1942325,313.175,29147.044,255.313,6.5
2024-05-28,1256.8858642578125,1261.4197065059454,1245.0423718073323,1256.3769209537074,2147233,313.175,29147.044,255.313,6.5
2024-05-29,1251.9818115234375,1264.4729465175442,1246.2913829920965,1263.917807551832,3845920,313.175,29147.044,255.313,6.5
2024-05-30,1232.320068359375,1250.5479439080582,1226.0744997038166,1245.412653389872,4150461,313.175,29147.044,255.313,6.5
2024-05-31,1225.149169921875,1240.6937407669247,1217.423193147763,1232.3200076546473,10319045,313.175,29147.044,255.313,6.5
2024-06-03,1216.2200927734375,1253.508487878035,1211.9638769099909,1249.6224022957372,5384064,313.044,29147.044,255.914,6.5
2024-06-04,1206.1346435546875,1225.9816216083595,1142.7073982538295,1225.9816216083595,5447244,313.044,29147.044,255.914,6.5
2024-06-05,1243.2845458984375,1255.4981707128363,1217.7471310289618,1221.3557045638508,3005139,313.044,29147.044,255.914,6.5
2024-06-06,1293.0638427734375,1295.1920073360577,1249.9463161156195,1252.814628347216,5936709,313.044,29147.044,255.914,6.5
2024-06-07,1324.5230712890625,1331.1387697149837,1293.5265481397898,1301.8539722694452,5884025,313.044,29147.044,255.914,6.5
2024-06-10,1312.7259521484375,1334.2384655492842,1293.0639775347604,1332.3879267621146,3293739,313.044,29147.044,255.914,6.5
2024-06-11,1322.0247802734375,1330.4909037491757,1309.6261494459893,1318.50871186264,2269082,313.044,29147.044,255.914,6.5
2024-06-12,1331.231201171875,1361.9964052997393,1327.298806659291,1361.9964052997393,5990861,313.044,29147.044,255.914,6.5
2024-06-13,1336.227783203125,1348.7651153971972,1329.704588965808,1339.5587303453617,4232861,313.044,29147.044,255.914,6.5
2024-06-14,1324.106689453125,1337.939420439639,1317.9536259604138,1336.2276948080507,3065114,313.044,29147.044,255.914,6.5
2024-06-18,1329.797119140625,1332.1566012589924,1320.4057252115674,1324.1068027632507,2223029,313.044,29147.044,255.914,6.5
2024-06-19,1337.800537109375,1343.3984613120736,1323.4126678837436,1332.4340431696064,3117522,313.044,29147.044,255.914,6.5
2024-06-20,1335.580078125,1340.669059855003,1322.7189237475145,1340.669059855003,3163919,313.044,29147.044,255.914,6.5
2024-06-21,1339.651123046875,1371.2027833430911,1331.6475210742385,1352.7437061301246,6489262,313.044,29147.044,255.914,6.5
2024-06-24,1333.17431640625,1336.0426287931643,1319.989228207832,1330.3985083644775,1988692,313.044,29147.044,255.914,6.5
2024-06-25,1339.74365234375,1341.733003949994,1319.85036217714,1333.2667671732258,2079037,313.044,29147.044,255.914,6.5
2024-06-26,1335.8111572265625,1344.6938322929943,1330.7221764042092,1339.743551498381,1917424,313.044,29147.044,255.914,6.5
2024-06-27,1346.1744384765625,1351.4022330434384,1317.1209574645084,1327.7615552943937,6613193,313.044,29147.044,255.914,6.5
2024-06-28,1350.52294921875,1358.9428766452393,1334.238233315712,1358.2952333616263,4943575,313.044,29147.044,255.914,6.5
2024-07-01,1359.0816650390625,1368.1030398931175,1346.2667089898052,1355.5194011478109,3723295,313.569,29511.664,257.321,6.5
2024-07-02,1370.138671875,1380.9179676599854,1362.921526960408,1364.7720653541087,3811366,313.569,29511.664,257.321,6.5
2024-07-03,1370.3238525390625,1377.7260070429872,1361.256168092589,1377.7260070429872,2070876,313.569,29511.664,257.321,6.5
2024-07-04,1408.583740234375,1419.8720938154886,1374.0249533902045,1374.0249533902045,6822557,313.569,29511.664,257.321,6.5
2024-07-05,1405.854248046875,1414.9681283931573,1393.039290366231,1409.1851950582172,3061687,313.569,29511.664,257.321,6.5
2024-07-08,1418.807861328125,1424.9146156628133,1393.6404704775457,1413.8113848914147,2939620,313.569,29511.664,257.321,6.5
2024-07-09,1416.679931640625,1430.7440940500287,1411.0358109862646,1418.8080964035769,2658608,313.569,29511.664,257.321,6.5
2024-07-10,1397.1102294921875,1418.0676001537613,1376.6618020865783,1416.679696307934,3507096,313.569,29511.664,257.321,6.5
2024-07-11,1398.914306640625,1419.3627301635745,1395.3520433689696,1401.7826181211312,3304053,313.569,29511.664,257.321,6.5
2024-07-12,1443.6051025390625,1448.9717096056554,1397.6192639587118,1415.6620151319623,6430647,313.569,29511.664,257.321,6.5
2024-07-15,1452.3026123046875,1514.110644239035,1450.267065105686,1461.9254352274115,10337489,313.569,29511.664,257.321,6.5
2024-07-16,1452.2564697265625,1464.701296587258,1438.7937562812292,1448.046449247668,3540650,313.569,29511.664,257.321,6.5
2024-07-18,1475.3883056640625,1479.7370264842543,1440.6443959580952,1441.6159739669074,4399468,313.569,29511.664,257.321,6.5
2024-07-19,1475.3883056640625,1495.6516143240196,1469.8828851939934,1490.1463068018704,5633838,313.569,29511.664,257.321,6.5
2024-07-22,1459.2421875,1475.341895877141,1453.5055630307245,1469.8827844285588,2704495,313.569,29511.664,257.321,6.5
2024-07-23,1490.2432861328125,1492.5276451627333,1446.1891075453211,1467.540256015057,2907674,313.569,29511.664,257.321,6.5
2024-07-24,1476.5841064453125,1489.9169507163356,1470.197438899955,1486.1874965218014,2484299,313.569,29511.664,257.321,6.5
2024-07-25,1480.2203369140625,1486.1874863472472,1457.1443392433634,1463.810761333236,2934731,313.569,29511.664,257.321,6.5
2024-07-26,1524.7408447265625,1529.0763583835435,1486.1876312581517,1494.3924767555338,2814159,313.569,29511.664,257.321,6.5
2024-07-29,1521.943359375,1533.7377790404294,1510.428694252581,1529.2623892356064,1639491,313.569,29511.664,257.321,6.5
2024-07-30,1519.985595703125,1522.549595327835,1508.5641428294164,1518.8201413282568,1783877,313.569,29511.664,257.321,6.5
2024-07-31,1531.5001220703125,1533.7378170281474,1509.682795405735,1511.3610950775849,1984986,313.569,29511.664,257.321,6.5
2024-08-01,1529.589111328125,1543.5279012746564,1525.4400251233335,1529.122929539761,1785188,314.062,29511.664,255.463,6.5
2024-08-02,1500.4527587890625,1528.1439116627548,1492.8539728291769,1510.4756673005784,1692851,314.062,29511.664,255.463,6.5
2024-08-05,1456.7249755859375,1487.7726165455438,1433.0429163397253,1468.4727347007597,3279717,314.062,29511.664,255.463,6.5
2024-08-06,1475.698486328125,1496.443576406028,1457.2843052477392,1457.2843052477392,2138704,314.062,29511.664,255.463,6.5
2024-08-07,1486.746826171875,1505.7670644860589,1482.4579768005162,1496.443429411842,1897787,314.062,29511.664,255.463,6.5
2024-08-08,1452.4825439453125,1493.6464177336509,1449.4058124967544,1488.984599950462,2373805,314.062,29511.664,255.463,6.5
2024-08-09,1482.4112548828125,1493.6462802315878,1469.264952707225,1477.702887643581,2021762,314.062,29511.664,255.463,6.5
2024-08-12,1478.029296875,1492.247840812766,1467.4003297915276,1482.4580236752877,1273739,314.062,29511.664,255.463,6.5
2024-08-13,1484.9288330078125,1499.6135589434286,1470.943379735797,1471.2696842160287,1973825,314.062,29511.664,255.463,6.5
2024-08-14,1516.1630859375,1519.5195721237246,1490.1501188199063,1491.8749687114746,3932148,314.062,29511.664,255.463,6.5
2024-08-16,1555.41552734375,1560.7766178770792,1522.2699568686448,1524.4144386075416,3101056,314.062,29511.664,255.463,6.5
2024-08-19,1564.97216796875,1571.0325308473898,1546.8377430343826,1552.385260451575,1631947,314.062,29511.664,255.463,6.5
2024-08-20,1572.6641845703125,1580.4028473965625,1556.3011590896826,1566.3707307414406,2786109,314.062,29511.664,255.463,6.5
2024-08-21,1563.8067626953125,1574.6221571018648,1560.5434902735308,1571.9649437497671,1410370,314.062,29511.664,255.463,6.5
2024-08-22,1562.7811279296875,1572.8972493014176,1559.8441600955966,1572.8972493014176,1749127,314.062,29511.664,255.463,6.5
2024-08-23,1549.0753173828125,1571.9182235137555,1545.0662225542965,1562.6879157609478,2158185,314.062,29511.664,255.463,6.5
2024-08-26,1603.1524658203125,1616.7184010432115,1554.3432565792812,1557.979497199081,2672708,314.062,29511.664,255.463,6.5
2024-08-27,1595.83349609375,1638.022948493994,1589.773132765538,1609.1196772363685,3556487,314.062,29511.664,255.463,6.5
2024-08-28,1603.1524658203125,1620.2147643672668,1578.5381590700906,1596.7192483551787,2516461,314.062,29511.664,255.463,6.5
2024-08-29,1633.361083984375,1637.2304155310148,1582.4540562414663,1598.0711459112524,5112407,314.062,29511.664,255.463,6.5
2024-08-30,1634.6663818359375,1646.833771598181,1624.3637191597752,1633.361050112899,4792561,314.062,29511.664,255.463,6.5
2024-09-02,1684.4547119140625,1689.4428343852535,1640.9599274382151,1644.8758090122176,4445349,314.732,29511.664,252.682,6.5
2024-09-03,1669.3504638671875,1694.2446417932226,1666.180518485063,1683.8487642566497,2553290,314.732,29511.664,252.682,6.5
2024-09-04,1664.5020751953125,1674.198679155144,1645.6217127683667,1645.714926363248,2644961,314.732,29511.664,252.682,6.5
2024-09-05,1669.4437255859375,1676.1100344188785,1647.7662714174396,1670.795607309588,2878565,314.732,29511.664,252.682,6.5
2024-09-06,1637.3236083984375,1674.2918459414382,1622.359241700087,1667.0660284244975,3351716,314.732,29511.664,252.682,6.5
2024-09-09,1628.6060791015625,1646.8338325684106,1623.3848658300135,1639.421473838467,1418238,314.732,29511.664,252.682,6.5
2024-09-10,1658.76806640625,1668.278243462811,1628.9790947608028,1631.123462763324,2307528,314.732,29511.664,252.682,6.5
2024-09-11,1658.441650390625,1675.3174077386348,1653.7331689777964,1657.9288049169436,2303930,314.732,29511.664,252.682,6.5
2024-09-12,1685.3404541015625,1691.4940312211115,1656.9033637362368,1678.254513363478,3349489,314.732,29511.664,252.682,6.5
2024-09-13,1690.188720703125,1696.901692863614,1674.198662757589,1682.916239351002,1599349,314.732,29511.664,252.682,6.5
2024-09-16,1689.302734375,1700.864064193281,1685.8995849386251,1695.9691559641371,836199,314.732,29511.664,252.682,6.5
2024-09-17,1691.074462890625,1704.3606440601309,1684.9674358450404,1689.3961629015423,830317,314.732,29511.664,252.682,6.5
2024-09-18,1637.6966552734375,1685.8065940319236,1622.40586954653,1685.8065940319236,2629136,314.732,29511.664,252.682,6.5
2024-09-19,1619.04931640625,1655.8776769003744,1605.063863054051,1655.8776769003744,4167373,314.732,29511.664,252.682,6.5
2024-09-20,1641.006591796875,1646.6473232613405,1604.9707160677635,1629.7715649454549,4644317,314.732,29511.664,252.682,6.5
2024-09-23,1634.246826171875,1644.6892520881418,1615.3198011579964,1644.6892520881418,1541597,314.732,29511.664,252.682,6.5
2024-09-24,1655.5047607421875,1662.8704558352754,1620.7742171594211,1631.6362757004383,1907389,314.732,29511.664,252.682,6.5
2024-09-25,1661.8448486328125,1663.3832712848932,1636.298064071983,1658.4883625462164,2240579,314.732,29511.664,252.682,6.5
2024-09-26,1663.1966552734375,1686.0862253923178,1658.581501339248,1661.7048963926627,4303250,314.732,29511.664,252.682,6.5
2024-09-27,1686.086181640625,1704.8733289894424,1675.037696892511,1687.5779404826906,4099016,314.732,29511.664,252.682,6.5
2024-09-30,1674.6181640625,1697.554284830647,1668.1382828587978,1685.7133131674796,2117894,314.732,29511.664,252.682,6.5
2024-10-01,1693.638427734375,1699.185945459578,1668.9307930880989,1668.9307930880989,1642542,315.631,29825.182,253.081,6.5
2024-10-03,1658.2552490234375,1686.9254283872788,1650.2834950893907,1657.742403541772,3552386,315.631,29825.182,253.081,6.5
2024-10-04,1656.43701171875,1685.6200355057515,1647.719435544009,1657.742343413353,2982759,315.631,29825.182,253.081,6.5
2024-10-07,1656.76318359375,1682.1700875547513,1648.3253626766918,1664.2220911786312,3419048,315.631,29825.182,253.081,6.5
2024-10-08,1668.41796875,1672.6602685799348,1625.1097258276625,1654.012996912377,2353030,315.631,29825.182,253.081,6.5
2024-10-09,1687.29833984375,1701.5635482671169,1669.0706999849083,1671.774577153157,2499596,315.631,29825.182,253.081,6.5
2024-10-10,1686.3192138671875,1715.5021222086916,1675.4571566718937,1696.901516495741,3753869,315.631,29825.182,253.081,6.5
2024-10-11,1715.22265625,1727.4832599006452,1678.860477190939,1681.983872372973,2977110,315.631,29825.182,253.081,6.5
2024-10-14,1730.3734130859375,1739.3240797714584,1708.4628712072831,1721.1896555293672,1751092,315.631,29825.182,253.081,6.5
2024-10-15,1743.613037109375,1755.4074586783076,1706.1786181357666,1706.2252818384295,5696544,315.631,29825.182,253.081,6.5
2024-10-16,1739.0911865234375,1757.5053674288592,1728.6487598393464,1742.587549986492,2144442,315.631,29825.182,253.081,6.5
2024-10-17,1741.46875,1750.0931131632876,1726.2245143305172,1743.4266907661795,2399099,315.631,29825.182,253.081,6.5
2024-10-18,1732.0516357421875,1747.1559927943442,1718.3459377598438,1740.7226618543834,2366406,315.631,29825.182,253.081,6.5
2024-10-21,1718.905517578125,1760.768666160667,1715.5490313664957,1748.4615121133868,1284980,315.631,29825.182,253.081,6.5
2024-10-22,1710.599853515625,1738.050159764607,1707.5498194879603,1717.2161269994644,2089660,315.631,29825.182,253.081,6.5
2024-10-23,1732.1849365234375,1750.250525052803,1683.1497676580173,1683.1497676580173,2522186,315.631,29825.182,253.081,6.5
2024-10-24,1731.3870849609375,1748.3264365027062,1724.630017554938,1731.4809092527762,1621637,315.631,29825.182,253.081,6.5
2024-10-25,1738.3787841796875,1756.397517366626,1726.9763251697532,1745.5581187088746,4078295,315.631,29825.182,253.081,6.5
2024-10-28,1756.5850830078125,1761.324412747332,1731.574779629938,1731.574779629938,2418907,315.631,29825.182,253.081,6.5
2024-10-29,1756.5850830078125,1760.479764979155,1737.299436299349,1756.5850830078125,1719955,315.631,29825.182,253.081,6.5
2024-10-30,1725.66259765625,1754.4266767795532,1722.3779452027948,1746.4966331086173,1732047,315.631,29825.182,253.081,6.5
2024-10-31,1657.388671875,1730.4487007951857,1648.4731870656876,1726.7886367510257,3616088,315.631,29825.182,253.081,6.5
2024-11-01,1649.2708740234375,1671.700379888333,1643.264629734991,1667.6649040771442,242223,316.528,29825.182,253.211,6.5
2024-11-04,1654.479248046875,1672.4510106437638,1637.6337206411872,1654.526217473016,2843690,316.528,29825.182,253.211,6.5
2024-11-05,1664.4271240234375,1673.6240812335957,1653.1184901742884,1660.15703043901,1818350,316.528,29825.182,253.211,6.5
2024-11-06,1725.2872314453125,1738.9889019867169,1673.295851183117,1680.8974527213302,3477029,316.528,29825.182,253.211,6.5
2024-11-07,1719.23388671875,1747.95122410773,1702.576007244621,1736.220323069611,2173869,316.528,29825.182,253.211,6.5
2024-11-08,1724.4425048828125,1740.0680884512185,1715.573989252963,1725.8032436206552,1521324,316.528,29825.182,253.211,6.5
