Date,Close,High,Low,Open,Volume,CPI,GDP,WPI,REPO_RATE
2024-05-13,386.5898132324219,389.8125109477641,384.486080196128,387.8430593472191,7584217,313.175,29147.044,255.313,6.5
2024-05-14,384.6651306152344,387.88782832259807,383.6356490674802,385.3812793565784,11423749,313.175,29147.044,255.313,6.5
2024-05-15,382.96429443359375,387.84308286683984,382.0243243263498,385.60509663039625,7856433,313.175,29147.044,255.313,6.5
2024-05-16,386.2317199707031,387.2612015462776,378.5778198017074,384.9337038883544,23911954,313.175,29147.044,255.313,6.5
2024-05-17,390.5734558105469,391.64767899723824,383.9490085643236,387.0821949896533,11894830,313.175,29147.044,255.313,6.5
2024-05-21,389.2306213378906,391.2895844705994,387.7983238293244,390.3048728406312,11175153,313.175,29147.044,255.313,6.5
2024-05-22,393.796142578125,395.63128444260855,389.7677560924288,391.51338645338825,11036895,313.175,29147.044,255.313,6.5
2024-05-23,395.0941467285156,398.2721029063194,390.7972258622152,395.13891666458176,27244733,313.175,29147.044,255.313,6.5
2024-05-24,390.48388671875,396.0788519270615,389.678226481837,394.78083588666976,13252938,313.175,29147.044,255.313,6.5
2024-05-27,386.2764892578125,392.9009362114082,385.56034049832,392.81142470930064,12282545,313.175,29147.044,255.313,6.5
2024-05-28,384.03851318359375,387.17169955273744,383.3671059718784,386.8136251635949,9668761,313.175,29147.044,255.313,6.5
2024-05-29,385.78411865234375,387.08216305407205,380.905302219086,380.905302219086,10832067,313.175,29147.044,255.313,6.5
2024-05-30,379.4282531738281,385.7841373136162,378.0854671434653,383.5909210764008,21314885,313.175,29147.044,255.313,6.5
2024-05-31,381.7557678222656,384.5308798806825,379.78634444067336,382.0243307145405,29300711,313.175,29147.044,255.313,6.5
2024-06-03,385.24700927734375,389.3201656528504,383.725200249957,388.514477016602,16116836,313.044,29147.044,255.914,6.5
2024-06-04,378.535888671875,388.6557312027862,367.2764561221505,388.3822180405629,47791986,313.044,29147.044,255.914,6.5
2024-06-05,392.302490234375,397.4991534256846,381.1342195545824,384.7353989949108,28197030,313.044,29147.044,255.914,6.5
2024-06-06,396.9521484375,399.0490345527086,393.03186047876784,397.4991747694112,32318523,313.044,29147.044,255.914,6.5
2024-06-07,400.3710021972656,402.6502400373076,393.03185750810144,393.3053706719897,29543660,313.044,29147.044,255.914,6.5
2024-06-10,398.3196716308594,402.0576366128407,397.3624044773114,401.1459357225328,11872688,313.044,29147.044,255.914,6.5
2024-06-11,394.7640686035156,399.1402214325666,394.0803145887873,398.4108722591482,13158571,313.044,29147.044,255.914,6.5
2024-06-12,394.1258544921875,396.0404176150584,392.2112913693166,392.5303996702627,10751658,313.044,29147.044,255.914,6.5
2024-06-13,392.302490234375,398.3196639852234,391.801059088471,398.3196639852234,9641349,313.044,29147.044,255.914,6.5
2024-06-14,393.0774230957031,393.7611770597148,391.1628599867876,392.9406665240471,9572809,313.044,29147.044,255.914,6.5
2024-06-18,390.8893737792969,395.8581191738071,390.3879426134279,394.7640665251691,14641141,313.044,29147.044,255.914,6.5
2024-06-19,386.23974609375,392.7127562489368,385.6927197561344,392.0290022211883,11329972,313.044,29147.044,255.914,6.5
2024-06-20,385.9206237792969,388.8380493170652,384.2795737201941,386.6044066765355,15147549,313.044,29147.044,255.914,6.5
2024-06-21,382.54736328125,387.7440266316048,381.5900672225091,387.47051347196447,26176371,313.044,29147.044,255.914,6.5
2024-06-24,385.9206237792969,386.5132163607238,382.9120368199867,382.9120368199867,9723008,313.044,29147.044,255.914,6.5
2024-06-25,385.9206237792969,386.5588115186297,382.6841188189972,385.6471106204015,10655609,313.044,29147.044,255.914,6.5
2024-06-26,386.51318359375,388.74685493918827,384.780972259955,385.6470779268525,11511714,313.044,29147.044,255.914,6.5
2024-06-27,388.01751708984375,389.5218104855848,383.9148777238095,386.5131947998345,38438054,313.044,29147.044,255.914,6.5
2024-06-28,387.3793640136719,390.2055993306075,386.1029884921122,387.9263614555754,18554411,313.044,29147.044,255.914,6.5
2024-07-01,391.1628723144531,392.25689602791135,387.1513942432347,388.6557165788598,13391362,313.569,29511.664,257.321,6.5
2024-07-02,387.9263305664063,392.6215625266498,385.23682315339903,392.02896997249417,11177863,313.569,29511.664,257.321,6.5
2024-07-03,390.4790954589844,391.70987576739714,387.9263445272619,388.4733708395652,7435499,313.569,29511.664,257.321,6.5
2024-07-04,391.1628723144531,393.3965148981146,389.33947056442025,392.0289780327245,9478861,313.569,29511.664,257.321,6.5
2024-07-05,395.3566589355469,395.6757383384228,389.84088762231767,391.1172630223574,13427543,313.569,29511.664,257.321,6.5
2024-07-08,404.4280395507813,405.29414529158566,395.3566835098957,396.7242204108642,21311436,313.569,29511.664,257.321,6.5
2024-07-09,412.6332702636719,414.8213465379182,404.79269491641344,408.0747948806487,27489709,313.569,29511.664,257.321,6.5
2024-07-10,411.5848693847656,415.1404827339749,407.0719599600082,413.6361603295421,12065662,313.569,29511.664,257.321,6.5
2024-07-11,418.1490783691406,418.9240227196027,409.0776930681741,410.2629071737522,19556596,313.569,29511.664,257.321,6.5
2024-07-12,418.51373291015625,422.3428593192128,415.5963073929136,418.1490583322847,19693114,313.569,29511.664,257.321,6.5
2024-07-15,422.4796447753906,425.2603139042144,416.82711619633983,418.5137615167691,16876907,313.569,29511.664,257.321,6.5
2024-07-16,424.4397583007813,425.5338109620082,420.6562269340028,422.5251950379047,13497253,313.569,29511.664,257.321,6.5
2024-07-18,428.7247009277344,429.31732238979913,421.7958262702707,422.1149345797316,21907158,313.569,29511.664,257.321,6.5
2024-07-19,432.6449890136719,437.0667368269077,427.9497569419,429.40848412543824,25939326,313.569,29511.664,257.321,6.5
2024-07-22,425.3514404296875,437.1123037584248,424.71325270358847,432.6905848326919,18762384,313.569,29511.664,257.321,6.5
2024-07-23,448.7364196777344,453.4772470105013,425.214692539737,425.3514491191427,56125835,313.569,29511.664,257.321,6.5
2024-07-24,450.4230651855469,465.55721919731405,447.3233168036432,452.2008718247006,43693692,313.569,29511.664,257.321,6.5
2024-07-25,446.6851501464844,452.20089316742,441.853161161021,446.7307164122864,18567567,313.569,29511.664,257.321,6.5
2024-07-26,457.8534240722656,461.6825218161174,444.36031941248064,450.42308880904,21534703,313.569,29511.664,257.321,6.5
2024-07-29,452.2464599609375,461.5001675935918,450.423058192173,460.8619798639512,12978187,313.569,29511.664,257.321,6.5
2024-07-30,446.6395568847656,453.84194523349976,445.4999379265304,452.4744082624718,13891052,313.569,29511.664,257.321,6.5
2024-07-31,451.6082763671875,453.97867557287424,447.1865573764219,448.9643640042543,11982586,313.569,29511.664,257.321,6.5
2024-08-01,450.10400390625,452.88467297760064,447.59681911064166,452.155294892808,12114803,314.062,29511.664,255.463,6.5
2024-08-02,445.9101867675781,455.3462174298525,441.9898988909283,441.9898988909283,22141163,314.062,29511.664,255.463,6.5
2024-08-05,443.08392333984375,448.4629384481495,437.20347706841375,437.6593419676077,25022076,314.062,29511.664,255.463,6.5
2024-08-06,443.3574523925781,448.28060277815945,441.3061325083515,443.31185723274336,14251363,314.062,29511.664,255.463,6.5
2024-08-07,449.1466674804688,451.83617488507,444.9984618258069,446.730673221321,11320399,314.062,29511.664,255.463,6.5
2024-08-08,451.0612487792969,454.0242694487426,449.009929000009,450.3774947823807,21349889,314.062,29511.664,255.463,6.5
2024-08-09,452.1097106933594,454.0242739132362,449.5569597335236,454.0242739132362,9556181,314.062,29511.664,255.463,6.5
2024-08-12,450.9244995117188,455.8476497252648,448.5541002742936,448.5541002742936,9425644,314.062,29511.664,255.463,6.5
2024-08-13,446.730712890625,453.8875348865262,445.1352579261627,452.15529444292224,8056478,314.062,29511.664,255.463,6.5
2024-08-14,448.7364196777344,454.93597422607183,446.6395336172972,448.5085016768149,9609981,314.062,29511.664,255.463,6.5
2024-08-16,458.2636413574219,459.67677341741495,449.1466901515516,450.833335370804,13643352,314.062,29511.664,255.463,6.5
2024-08-19,457.1696166992188,464.3264095122466,455.4829714833437,460.1782036565068,10591508,314.062,29511.664,255.463,6.5
2024-08-20,454.7536315917969,458.9474326908904,453.7507692522604,456.7593562708698,6888634,314.062,29511.664,255.463,6.5
2024-08-21,460.7708129882813,464.0529130177818,454.9815283328472,455.8476340497613,8801221,314.062,29511.664,255.463,6.5
2024-08-22,459.9958801269531,463.5970596598946,457.1696160168448,463.0044670797505,8686423,314.062,29511.664,255.463,6.5
2024-08-23,461.135498046875,462.18392662579055,455.8020781540666,460.451715152565,8195369,314.062,29511.664,255.463,6.5
2024-08-26,461.0443115234375,463.1412264870548,457.6710499703936,461.3178246834111,8126402,314.062,29511.664,255.463,6.5
2024-08-27,456.3946838378906,462.7765613871338,455.84765750673535,462.730966228114,8260450,314.062,29511.664,255.463,6.5
2024-08-28,453.3861083984375,457.94458422323976,452.6567592010943,456.2123437617104,8081932,314.062,29511.664,255.463,6.5
2024-08-29,460.4972839355469,462.86768300960847,453.431624079925,454.0242455191415,19389694,314.062,29511.664,255.463,6.5
2024-08-30,457.5798950195313,464.1896905333773,456.0300063539427,457.6254612839912,15523349,314.062,29511.664,255.463,6.5
2024-09-02,465.01019287109375,467.6085389871661,458.8562623710469,459.49445011058486,16497266,314.732,29511.664,252.682,6.5
2024-09-03,464.4176025390625,470.3892102248928,463.0500656317912,465.0101951235504,12481552,314.732,29511.664,252.682,6.5
2024-09-04,461.6369018554688,465.0101631809234,455.8020511506021,455.8476174113433,8739052,314.732,29511.664,252.682,6.5
2024-09-05,466.05865478515625,466.6968425307686,462.27512346983656,463.4603086443522,11318636,314.732,29511.664,252.682,6.5
2024-09-06,457.39752197265625,466.7879860576864,453.2493162323431,466.7879860576864,14245025,314.732,29511.664,252.682,6.5
2024-09-09,466.5600891113281,467.38059970737794,456.16676226622855,457.67105577087847,14265060,314.732,29511.664,252.682,6.5
2024-09-10,468.2467651367188,469.5231118262228,463.8250168608902,466.6968763715229,11332248,314.732,29511.664,252.682,6.5
2024-09-11,468.9304809570313,473.6257131371341,466.7424045783741,467.69970063527967,15497555,314.732,29511.664,252.682,6.5
2024-09-12,473.625732421875,474.5374333579599,463.6426750732821,469.6142829762266,19085324,314.732,29511.664,252.682,6.5
2024-09-13,468.4746398925781,474.0815440167886,466.7879946924352,473.6257080193676,9165077,314.732,29511.664,252.682,6.5
2024-09-16,465.9674987792969,471.3464850740398,464.6911232732351,470.34362273274417,7821668,314.732,29511.664,252.682,6.5
2024-09-17,462.913330078125,468.2011551033687,461.545764214466,465.9219171896321,10889862,314.732,29511.664,252.682,6.5
2024-09-18,462.5486145019531,467.15268536936793,460.4973235485926,463.0044794093549,5638729,314.732,29511.664,252.682,6.5
2024-09-19,463.369140625,469.3407482537268,462.685357730768,464.9645955191816,14461616,314.732,29511.664,252.682,6.5
2024-09-20,468.97607421875,471.6655817468218,463.14122316210313,466.78799784894,24725118,314.732,29511.664,252.682,6.5
2024-09-23,471.3009033203125,473.580141232498,468.2467499449426,469.93336635185545,8105508,314.732,29511.664,252.682,6.5
2024-09-24,469.75103759765625,472.0758417465427,468.7481752404364,471.3464925584321,7015487,314.732,29511.664,252.682,6.5
2024-09-25,471.847900390625,473.4433841667293,467.061506850851,469.978932353214,8802667,314.732,29511.664,252.682,6.5
2024-09-26,476.5887145996094,477.5004154617752,471.3464563128574,471.93904887084426,16086557,314.732,29511.664,252.682,6.5
2024-09-27,476.5431518554688,481.8309767637044,474.3095091513703,474.3095091513703,17916386,314.732,29511.664,252.682,6.5
2024-09-30,472.3949279785156,478.047427263378,468.6569629993216,474.6285705979751,10936940,314.732,29511.664,252.682,6.5
2024-10-01,470.61712646484375,473.8536314297425,468.6114018224536,472.3949331059205,5285319,315.631,29825.182,253.081,6.5
2024-10-03,467.4717712402344,470.161249819359,463.2323751658065,463.6426448944806,16481353,315.631,29825.182,253.081,6.5
2024-10-04,459.0841979980469,471.6656015344404,457.260796130997,464.9646155648812,18930962,315.631,29825.182,253.081,6.5
2024-10-07,465.14697265625,469.4775304695708,462.0016289595631,462.2295469719965,17114457,315.631,29825.182,253.081,6.5
2024-10-08,463.09564208984375,467.2894432202591,461.317835402975,464.964610200732,9868331,315.631,29825.182,253.081,6.5
2024-10-09,448.2805786132813,464.7822693286866,447.2321211477684,464.7822693286866,24874940,315.631,29825.182,253.081,6.5
2024-10-10,448.5997314453125,451.8818318511576,446.2293031233235,451.6083186682918,13292273,315.631,29825.182,253.081,6.5
2024-10-11,445.0896606445313,450.3319193215231,444.3603114582125,449.4658135509857,14949380,315.631,29825.182,253.081,6.5
2024-10-14,453.0669555664063,454.9359524306525,445.4998933750804,447.6423744907658,6970606,315.631,29825.182,253.081,6.5
2024-10-15,454.5257263183594,455.3006706741215,450.8333562856044,454.0242951345452,8347216,315.631,29825.182,253.081,6.5
2024-10-16,449.6481323242188,454.79922952979206,448.87318798542856,452.2008833474638,6939430,315.631,29825.182,253.081,6.5
2024-10-17,445.7278137207031,451.2891513985885,444.9073031735123,451.2891513985885,7669729,315.631,29825.182,253.081,6.5
2024-10-18,443.72210693359375,448.1438259382292,436.1550443992969,445.5910749882809,22616838,315.631,29825.182,253.081,6.5
2024-10-21,440.9414367675781,444.54264518224113,435.1977471460307,443.7221057101901,7680088,315.631,29825.182,253.081,6.5
2024-10-22,439.2547912597656,445.27199403454927,438.3430903673112,440.94143646609285,12772970,315.631,29825.182,253.081,6.5
2024-10-23,437.932861328125,440.62234002608295,437.15791699336745,438.5254539217694,10553961,315.631,29825.182,253.081,6.5
2024-10-24,430.0466613769531,439.8017998552316,428.49677281164986,439.43712529179584,13596626,315.631,29825.182,253.081,6.5
2024-10-25,439.7106628417969,449.92163786751,432.3259230631333,433.7846213978336,32154050,315.631,29825.182,253.081,6.5
2024-10-28,441.3972778320313,442.9927616367931,433.96697181201,439.3915531808061,8946214,315.631,29825.182,253.081,6.5
2024-10-29,444.8617248535156,446.00134374693727,438.7989558078247,442.1722173304157,7131161,315.631,29825.182,253.081,6.5
2024-10-30,448.1438293457031,449.6937179905663,443.5397585692342,444.861729212034,6640080,315.631,29825.182,253.081,6.5
2024-10-31,445.6366882324219,449.4658148127512,441.89872307707066,448.5541138801578,8111694,315.631,29825.182,253.081,6.5
2024-11-01,447.0042114257813,448.6452614962307,446.09251052124927,447.6423991695266,1517892,316.528,29825.182,253.211,6.5
2024-11-04,441.8075256347656,449.8760189971957,437.2034550817817,449.8760189971957,8754385,316.528,29825.182,253.211,6.5
2024-11-05,437.7961120605469,442.2178312430111,434.8330912542778,440.30326795355165,7610046,316.528,29825.182,253.211,6.5
2024-11-06,438.6166076660156,441.6252235289505,435.79037243527137,437.796097081048,11749720,316.528,29825.182,253.211,6.5
