Ticker,ADF_Stat,ADF_p_value,ADF_Lags,ADF_Obs,ADF_Crit_5%,ADF_Stationary,KPSS_Stat,KPSS_p_value,KPSS_Lags,KPSS_Crit_5%,KPSS_Stationary,Fully_Stationary
ADANIENT.NS,-12.428138385115787,3.9959685958365337e-23,3,490,-2.8674565460819896,True,0.03880881558120081,0.1,3,0.463,True,True
ADANIPORTS.NS,-26.98992522200899,0.0,0,493,-2.8674204319994674,True,0.12060485758714282,0.1,3,0.463,True,True
APOLLOHOSP.NS,-21.44987335188908,0.0,0,493,-2.8674204319994674,True,0.07911086208840792,0.1,3,0.463,True,True
ASIANPAINT.NS,-19.29737329211075,0.0,0,493,-2.8674204319994674,True,0.30336996392815274,0.1,3,0.463,True,True
AXISBANK.NS,-8.488999200659519,1.3291413764609232e-13,7,486,-2.867505393939065,True,0.06364971207615538,0.1,0,0.463,True,True
BAJAJ-AUTO.NS,-21.54536639560501,0.0,0,493,-2.8674204319994674,True,0.24687890784354036,0.1,3,0.463,True,True
BAJAJFINSV.NS,-16.81514106470619,1.1904237478619497e-29,1,492,-2.8674324209387345,True,0.047468238539903215,0.1,3,0.463,True,True
BAJFINANCE.NS,-23.57000689771084,0.0,0,493,-2.8674204319994674,True,0.0859088391393598,0.1,0,0.463,True,True
BEL.NS,-21.285013244484993,0.0,0,493,-2.8674204319994674,True,0.10003998515488528,0.1,1,0.463,True,True
BHARTIARTL.NS,-7.2593859494656865,1.6972142715086773e-10,15,478,-2.867605550172837,True,0.17691969543211958,0.1,7,0.463,True,True
BPCL.NS,-22.688848888268645,0.0,0,493,-2.8674204319994674,True,0.1225780199934897,0.1,3,0.463,True,True
BRITANNIA.NS,-13.748767085070556,1.0602377026750702e-25,2,491,-2.867444458865948,True,0.09813345890867504,0.1,5,0.463,True,True
CIPLA.NS,-5.343050618124238,4.456454971228776e-06,17,476,-2.8676311169658177,True,0.1287135665914119,0.1,6,0.463,True,True
COALINDIA.NS,-24.609867574249773,0.0,0,493,-2.8674204319994674,True,0.15661214112080513,0.1,7,0.463,True,True
DRREDDY.NS,-20.618368321223947,0.0,0,493,-2.8674204319994674,True,0.04900780245888776,0.1,2,0.463,True,True
